cust_num,savg_acc,curr_acc,invt_acc,trans_dy,card_pay,mortg_ln,cdt_line,cust_age,cust_sex,cust_mar,cust_chd,cust_inc,cust_car,cust_chn
49,26.862400,0.000000,15.492200,0,"acct","yes","no",21,"male","married",2,23564.100000,"no","vol_churn"
55,17.208500,8.941920,138.045000,0,"acct","yes","no",42,"male","single",0,37661.000000,"no","customer"
59,24.578100,0.000000,80.746600,0,"giro","yes","yes",71,"male","married",2,99064.000000,"no","customer"
64,21.502100,0.000000,47.219600,0,"acct","yes","yes",94,"female","married",0,87251.800000,"yes","vol_churn"
65,9.703140,1.202740,12.182400,0,"acct","no","yes",33,"female","married",0,2974.760000,"yes","vol_churn"
69,0.000000,0.000000,4.619500,0,"acct","yes","yes",21,"male","single",0,23893.900000,"no","invol_chn"
71,0.000000,0.000000,2.362230,0,"acct","no","yes",81,"male","married",0,23289.700000,"no","invol_chn"
72,27.331700,0.000000,23.860200,0,"giro","yes","no",86,"female","single",2,92885.900000,"no","customer"
73,6.671470,0.000000,77.251500,0,"giro","yes","yes",54,"male","married",2,11676.200000,"no","customer"
78,13.644200,0.000000,19.546400,1,"giro","yes","yes",19,"female","married",0,27842.100000,"no","vol_churn"
80,20.568800,3.274430,23.342000,0,"acct","no","yes",18,"female","married",1,9925.680000,"no","vol_churn"
83,0.000000,0.000000,0.353182,0,"acct","no","yes",63,"male","married",1,9049.570000,"no","invol_chn"
84,12.290000,7.800390,47.458400,1,"acct","no","yes",75,"male","married",2,17562.900000,"yes","customer"
89,17.413300,0.000000,28.130200,0,"acct","no","yes",62,"male","married",0,50676.000000,"no","customer"
92,4.718520,0.000000,57.774600,0,"giro","yes","yes",23,"female","single",2,8383.470000,"yes","vol_churn"
96,2.648290,0.000000,24.754700,0,"acct","no","yes",57,"male","married",0,28128.400000,"no","customer"
100,21.912100,6.708280,27.002900,0,"acct","no","no",52,"male","single",0,88413.400000,"yes","vol_churn"
101,2.421640,9.186860,41.166100,0,"cheq","no","no",48,"male","single",0,81420.000000,"no","vol_churn"
102,16.068600,1.536420,130.352000,0,"acct","no","yes",77,"female","married",2,37155.000000,"yes","vol_churn"
104,8.758400,0.000000,112.637000,0,"acct","no","no",61,"male","married",1,85927.700000,"no","customer"
116,1.875570,0.000000,50.856900,3,"acct","no","yes",25,"female","married",0,38950.500000,"no","vol_churn"
117,18.324200,5.678370,31.279100,0,"acct","yes","yes",56,"male","single",0,44143.100000,"no","vol_churn"
122,17.788200,0.000000,15.661000,0,"acct","no","yes",45,"male","married",1,39378.900000,"no","customer"
125,1.133690,4.697250,57.623000,0,"giro","no","yes",59,"female","single",1,69454.600000,"yes","vol_churn"
130,0.000000,0.000000,1.065640,0,"acct","yes","yes",78,"female","single",2,74392.100000,"no","customer"
137,19.190600,3.617800,72.744900,0,"acct","no","yes",21,"female","married",2,75323.400000,"no","customer"
144,11.271200,0.000000,52.739000,0,"acct","no","yes",62,"male","married",2,94092.600000,"no","customer"
145,17.846700,8.795010,12.612700,0,"acct","yes","yes",32,"male","single",1,63769.700000,"yes","vol_churn"
149,8.621880,0.000000,8.489600,0,"cheq","no","yes",43,"male","married",0,33935.800000,"yes","customer"
154,17.623600,6.412900,116.805000,0,"acct","yes","yes",32,"female","married",2,18913.200000,"no","vol_churn"
155,0.746339,2.931530,18.902800,0,"acct","yes","yes",20,"male","married",1,99398.100000,"no","vol_churn"
158,0.000000,0.000000,0.721981,0,"cheq","yes","yes",67,"female","married",0,87765.200000,"no","invol_chn"
160,4.955450,0.000000,30.898400,3,"cheq","yes","yes",83,"female","single",1,96112.100000,"yes","vol_churn"
170,0.000000,0.000000,3.091530,0,"giro","yes","no",46,"female","married",0,46734.500000,"no","vol_churn"
172,21.825200,0.000000,69.003700,0,"acct","yes","yes",66,"male","single",0,80025.300000,"yes","customer"
173,8.494290,0.000000,50.033600,0,"giro","no","yes",42,"female","single",2,49776.200000,"yes","vol_churn"
174,11.064300,0.000000,40.821900,0,"acct","no","yes",27,"male","single",2,4335.860000,"no","vol_churn"
177,16.460700,0.000000,57.656900,0,"acct","yes","no",93,"female","single",0,74912.100000,"yes","vol_churn"
178,0.000000,0.000000,3.823460,0,"acct","yes","no",19,"female","single",1,44566.600000,"yes","invol_chn"
179,20.700200,0.000000,20.055800,0,"acct","no","yes",93,"male","married",1,25949.000000,"no","customer"
180,26.671700,0.000000,71.982800,0,"acct","no","yes",73,"female","married",0,76660.700000,"no","customer"
181,14.465500,0.000000,69.296000,0,"acct","yes","yes",48,"male","married",0,58764.700000,"yes","customer"
187,7.665460,0.000000,83.077600,0,"giro","yes","yes",47,"male","married",2,90070.500000,"no","customer"
188,25.306400,0.000000,51.615800,0,"acct","no","no",94,"female","married",2,38925.500000,"no","customer"
195,5.022060,0.000000,29.804600,0,"acct","no","yes",20,"male","single",2,9431.040000,"no","vol_churn"
197,21.403200,0.000000,14.448600,0,"cheq","no","yes",32,"male","married",0,38038.700000,"yes","customer"
198,4.996310,0.682405,56.109800,0,"acct","no","no",19,"female","single",0,50290.700000,"no","vol_churn"
199,24.053400,0.000000,17.697600,0,"cheq","yes","yes",78,"female","single",1,88990.600000,"yes","vol_churn"
201,22.900100,0.000000,22.705200,1,"cheq","no","no",36,"female","married",1,5283.200000,"no","customer"
202,18.884700,0.000000,96.298000,0,"cheq","yes","yes",79,"male","married",1,37571.100000,"no","customer"
206,5.357320,0.000000,27.142700,0,"acct","no","yes",23,"female","married",1,22767.000000,"yes","vol_churn"
208,8.712800,0.000000,45.640600,0,"cheq","yes","yes",79,"male","married",0,61985.600000,"no","customer"
216,14.705200,0.000000,42.140800,1,"acct","yes","no",27,"male","married",1,23234.800000,"no","customer"
217,21.188700,0.000000,30.472000,0,"acct","yes","yes",81,"male","married",2,20759.900000,"no","customer"
218,2.742060,0.000000,180.967000,0,"acct","no","yes",54,"male","married",2,93476.600000,"yes","customer"
222,12.931200,0.000000,137.136000,0,"acct","yes","no",29,"male","married",0,20315.400000,"yes","customer"
229,3.744280,0.000000,15.129200,0,"acct","no","yes",68,"male","married",0,55059.200000,"no","customer"
230,4.022090,0.000000,13.640500,0,"acct","yes","yes",64,"male","married",1,92298.000000,"no","customer"
