cust_num,savg_acc,curr_acc,invt_acc,trans_dy,card_pay,mortg_ln,cdt_line,cust_age,cust_sex,cust_mar,cust_chd,cust_inc,cust_car
49,26.862400,0.000000,15.492200,0,"acct","yes","no",21,"male","married",2,23564.100000,"no"
59,24.578100,0.000000,80.746600,0,"giro","yes","yes",71,"male","married",2,99064.000000,"no"
72,27.331700,0.000000,23.860200,0,"giro","yes","no",86,"female","single",2,92885.900000,"no"
80,20.568800,3.274430,23.342000,0,"acct","no","yes",18,"female","married",1,9925.680000,"no"
100,21.912100,6.708280,27.002900,0,"acct","no","no",52,"male","single",0,88413.400000,"yes"
104,8.758400,0.000000,112.637000,0,"acct","no","no",61,"male","married",1,85927.700000,"no"
117,18.324200,5.678370,31.279100,0,"acct","yes","yes",56,"male","single",0,44143.100000,"no"
130,0.000000,0.000000,1.065640,0,"acct","yes","yes",78,"female","single",2,74392.100000,"no"
145,17.846700,8.795010,12.612700,0,"acct","yes","yes",32,"male","single",1,63769.700000,"yes"
149,8.621880,0.000000,8.489600,0,"cheq","no","yes",43,"male","married",0,33935.800000,"yes"
154,17.623600,6.412900,116.805000,0,"acct","yes","yes",32,"female","married",2,18913.200000,"no"
180,26.671700,0.000000,71.982800,0,"acct","no","yes",73,"female","married",0,76660.700000,"no"
188,25.306400,0.000000,51.615800,0,"acct","no","no",94,"female","married",2,38925.500000,"no"
206,5.357320,0.000000,27.142700,0,"acct","no","yes",23,"female","married",1,22767.000000,"yes"
222,12.931200,0.000000,137.136000,0,"acct","yes","no",29,"male","married",0,20315.400000,"yes"
230,4.022090,0.000000,13.640500,0,"acct","yes","yes",64,"male","married",1,92298.000000,"no"
242,0.000000,0.000000,3.206860,0,"giro","yes","yes",77,"male","single",2,20965.300000,"no"
252,24.960300,0.000000,82.895400,0,"acct","yes","no",71,"female","single",1,61302.000000,"no"
253,5.193360,0.000000,30.000200,0,"acct","yes","yes",90,"female","married",1,41416.800000,"no"
257,17.345300,0.000000,95.973300,0,"acct","no","no",93,"female","married",1,20013.200000,"yes"
258,10.885200,0.000000,26.753800,0,"cheq","yes","yes",58,"male","married",0,88811.000000,"no"
259,11.355400,0.000000,13.460000,0,"acct","yes","yes",43,"female","single",2,77293.000000,"no"
285,3.257600,0.000000,10.074100,0,"acct","yes","yes",72,"male","single",1,95182.100000,"no"
295,20.928000,0.000000,30.527800,0,"acct","no","yes",50,"female","married",2,59078.000000,"yes"
302,13.449500,3.769520,15.896000,0,"acct","yes","no",67,"female","single",0,79727.000000,"no"
309,23.111000,0.000000,87.005800,0,"cheq","yes","yes",34,"female","married",2,94024.100000,"no"
315,11.974200,0.000000,30.629100,0,"giro","no","no",61,"male","married",0,95132.700000,"no"
318,0.000000,0.000000,2.348250,0,"acct","yes","no",28,"male","married",0,99563.100000,"no"
321,6.204470,0.000000,41.749400,0,"giro","yes","yes",52,"female","married",1,24943.000000,"yes"
330,14.990000,0.000000,24.057200,0,"acct","yes","yes",55,"female","married",0,79771.300000,"yes"
334,5.663160,0.000000,10.197700,0,"giro","no","yes",36,"female","married",2,96283.600000,"no"
335,27.369200,0.204806,48.899700,0,"cheq","yes","no",19,"female","single",1,24896.100000,"no"
350,0.000000,0.000000,4.389610,0,"cheq","yes","yes",90,"male","married",1,5257.650000,"no"
356,3.099690,0.000000,6.432710,0,"acct","no","yes",65,"male","married",0,30057.400000,"yes"
388,24.034800,0.000000,48.055800,0,"acct","yes","no",84,"female","single",2,32964.200000,"no"
390,0.000000,0.000000,3.537830,0,"acct","yes","no",81,"male","single",2,3714.960000,"no"
393,11.027800,0.000000,87.333400,0,"acct","no","no",62,"female","married",1,63314.600000,"no"
400,15.918100,0.000000,6.322120,0,"giro","no","no",44,"male","married",2,57430.500000,"no"
407,20.323000,0.000000,90.702200,0,"cheq","no","yes",22,"female","single",2,80571.600000,"yes"
412,1.559520,9.029660,15.177600,1,"acct","no","yes",53,"male","married",1,18672.000000,"yes"
